name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
WINDOW SHOPPER PART. 2 (feat. Hamza),L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,193613,53,0.0714,0.618,0.42,0.0,0.122,-10.248,0.4,94.681,0.54,4,8,1,spotify:track:6wFP7BMVFeA6cxUUyTrIxN,2021,2022,gamma
"Fire On Fire - From ""Watership Down""","Fire On Fire (From ""Watership Down"")",Sam Smith,2018-12-21,246735,67,0.476,0.584,0.407,0.0,0.18,-7.356,0.046,115.124,0.341,4,1,0,spotify:track:5rFj8OzffT0iggSjcBaeND,2018,2022,gamma
WINDOW SHOPPER PART. 1,L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,97160,49,0.0244,0.782,0.618,0.0,0.392,-7.866,0.374,94.931,0.78,4,11,1,spotify:track:29GT81KcfMhfYV1BSpL3p2,2021,2022,gamma
Paname allons danser,L'Apogée,Sexion d'Assaut,2012-11-19,366253,39,0.175,0.8,0.425,0.0,0.104,-7.344,0.0548,89.946,0.291,3,7,0,spotify:track:2UEg07gAhmdqVTqLztkn5p,2012,2022,gamma
Your Song,360 Degrees of Billy Paul (Expanded Edition),Billy Paul,1972-10-25,390986,63,0.408,0.497,0.73,2.14e-06,0.0928,-8.514,0.0511,131.188,0.704,4,0,0,spotify:track:5TUs6T93fNFvgQov6MlYkP,1972,2022,gamma
I Get to Love You,I Get to Love You,Ruelle,2016-02-12,239362,66,0.924,0.335,0.251,0.0,0.111,-6.225,0.0317,153.298,0.0863,3,2,1,spotify:track:3CV4lFELdziNM1OnHU8nwz,2016,2022,gamma
UN RÊVE ÉTRANGE,L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,116413,49,0.12,0.593,0.526,0.0,0.12,-11.44,0.2,153.005,0.459,4,4,1,spotify:track:0L1JUpc6bjrBvK9pqMTGcb,2021,2022,gamma
On t'a dit,L'Apogée,Sexion d'Assaut,2012-11-19,260093,27,0.0287,0.658,0.688,0.0,0.122,-4.97,0.405,110.837,0.752,5,6,0,spotify:track:0OYShHLwqZ0P53EZlH1zzX,2012,2022,gamma
Gisèle - Part 4,Tristesse Business : Saison 1,Luidji,2019-04-26,334447,61,0.754,0.644,0.312,5.77e-06,0.108,-13.999,0.0521,88.382,0.188,4,7,1,spotify:track:6ZAoS3dnU1Hha59H3Fxw6L,2019,2022,gamma
Melrose Place,L'Apogée,Sexion d'Assaut,2012-11-19,238866,41,0.283,0.785,0.835,0.0,0.136,-5.515,0.384,103.498,0.519,4,1,1,spotify:track:4DaixXjT5GCbeWQy8Sx5kw,2012,2022,gamma
Carton rouge,Rien à branler,Lorenzo,2018-02-23,186773,54,0.178,0.859,0.869,4.98e-06,0.0989,-5.273,0.156,99.017,0.686,4,10,0,spotify:track:78vMRrfTVcpTceeSRlbBKN,2018,2022,gamma
Cérémonie,L'Apogée,Sexion d'Assaut,2012-11-19,234320,38,0.215,0.742,0.911,0.0,0.194,-5.18,0.268,105.003,0.702,4,1,1,spotify:track:6faJ55Q96ufC8qpJ6uxKj9,2012,2022,gamma
Scarface,Autopsie 0,Booba,2017-03-10,253586,66,0.465,0.65,0.731,0.0222,0.323,-6.753,0.0387,137.99,0.478,4,11,0,spotify:track:2lIBT5vhgGXKMUoCFeFJvZ,2017,2022,gamma
Disque d'or,L'Apogée,Sexion d'Assaut,2012-11-19,280240,44,0.0778,0.845,0.961,0.0,0.599,-3.767,0.361,155.981,0.612,4,9,1,spotify:track:0g8OwnEszhZJM5yjy71ycp,2012,2022,gamma
J'suis pas dans le Game,L'Apogée,Sexion d'Assaut,2012-11-19,261853,36,0.111,0.854,0.631,0.0,0.0972,-5.184,0.115,76.014,0.358,4,6,1,spotify:track:5rftQabJ357Yn3WAEts6T0,2012,2022,gamma
