name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
"Prélude, Aria et Final: I. Prelude",Franck: Piano Works,César Franck,2006,561505,2,0.995,0.338,0.0556,0.88,0.115,-25.036,0.0412,89.528,0.0396,4,1,0,spotify:track:4XEIU20DdZy1aQp0doGXgZ,2006,2021,beta
"Prelude, Choral et Fugue: III. Poco allegro",Franck: Piano Works,César Franck,2006,74946,1,0.99,0.412,0.0772,0.928,0.106,-21.36,0.0306,62.403,0.0627,3,6,1,spotify:track:4WgySyCDKNXdS0tgBD9sUy,2006,2021,beta
Paroles paroles,Dalida By Ibrahim Maalouf,Ibrahim Maalouf,2017-11-17,246000,47,0.331,0.735,0.319,0.0,0.0907,-9.597,0.0443,115.048,0.592,4,5,0,spotify:track:4ZtZuAyotyXxdoXsN3XijS,2017,2021,beta
"Prélude, Fugue et Variation, Op. 18: III. Fugue",Franck: Piano Works,César Franck,2006,201093,4,0.995,0.442,0.0295,0.886,0.0823,-29.334,0.054,82.114,0.102,3,11,0,spotify:track:5BzQVDteLMO8SXjlCrqbi6,2006,2021,beta
Le temps est bon,Aller-retour,Bon Entendeur,2019-12-13,203160,65,0.237,0.573,0.679,6.82e-05,0.375,-5.693,0.079,98.085,0.583,4,3,1,spotify:track:2U5kSevItDmL0XzSDyemRp,2019,2021,beta
Doubt,Blurryface,Twenty One Pilots,2015-05-15,191493,71,0.121,0.719,0.645,0.00316,0.362,-6.141,0.0358,123.02,0.69,4,2,0,spotify:track:57yL3161hUMuw06zzzUCHi,2015,2021,beta
Moins joli,Moins joli,Iliona,2021-01-15,179880,59,0.94,0.532,0.18,0.000263,0.258,-14.76,0.0466,92.404,0.131,4,9,0,spotify:track:2fgINBjLf7eCI3ky3n2gnS,2021,2021,beta
L'amour comme à 16 ans,Minuit,Bon Entendeur,2021-06-25,221960,0,0.262,0.57,0.787,0.00754,0.169,-7.636,0.0389,103.028,0.331,4,0,0,spotify:track:1oHfekv3Ml9QWuYpDygjS5,2021,2021,beta
5H,Noir,Yseult,2019-10-18,226680,39,0.0256,0.494,0.668,0.0,0.0817,-6.399,0.0443,99.104,0.475,4,11,0,spotify:track:141nlMCqr45W3DJ7B6QyyH,2019,2021,beta
BAD BOY,BAD BOY,Yseult,2020-10-30,274520,48,0.948,0.354,0.265,0.182,0.108,-13.258,0.0307,85.323,0.039,4,9,0,spotify:track:2gJuY2L6eCxAfIXdXAWtm5,2020,2021,beta
Paris,PLANET GOLD,Sofiane Pamart,2021-01-08,212560,46,0.981,0.332,0.206,0.783,0.135,-19.725,0.0403,135.622,0.196,4,11,0,spotify:track:0tfyZ3gd3UdW8mM8HtDicz,2021,2021,beta
Alba (feat. Sofiane Pamart),Alba (feat. Sofiane Pamart),Bon Entendeur,2021-04-28,227573,41,0.548,0.525,0.674,0.912,0.11,-10.155,0.0322,93.996,0.0909,4,2,0,spotify:track:3DiHl8o1fNbO2dohrtcO4u,2021,2021,beta
Seoul,PLANET GOLD,Sofiane Pamart,2021-01-08,212066,49,0.957,0.474,0.241,0.858,0.0813,-14.975,0.0328,81.934,0.0379,1,1,1,spotify:track:3tgFSOcxRWvfeDnIIkhQiQ,2021,2021,beta
La Havane,PLANET GOLD,Sofiane Pamart,2021-01-08,185666,49,0.977,0.301,0.25,0.861,0.0901,-16.262,0.0358,91.069,0.157,3,10,0,spotify:track:2V8XnMnzngZDZLHCBaLj9P,2021,2021,beta
Berlin,PLANET GOLD,Sofiane Pamart,2021-01-08,146426,46,0.966,0.472,0.122,0.888,0.111,-20.342,0.0439,124.344,0.0608,4,6,0,spotify:track:5ZajCSvh7ZozUVuGAKmhCQ,2021,2021,beta
J'attends,Les femmes idéales,Ben Mazué,2018-11-09,280826,58,0.651,0.755,0.536,0.000358,0.0999,-8.677,0.0674,120.062,0.7,4,5,1,spotify:track:2EjSObddqmZPzlcoket9WV,2018,2021,beta
"Prélude, Fugue et Variation, Op. 18: II. Lento",Franck: Piano Works,César Franck,2006,71400,4,0.986,0.37,0.000545,0.902,0.0955,-31.408,0.069,140.241,0.0735,4,6,1,spotify:track:502JE3z3BtrGrxgBW6tpay,2006,2021,beta
Bordel 1900,Di Meola Plays Piazzolla,Al Di Meola,2005-08-30,272773,14,0.872,0.369,0.433,0.864,0.215,-12.978,0.0305,146.29,0.582,4,9,0,spotify:track:7KFf4Ih4xBeA6bXvoWfxjr,2005,2021,beta
Ocean,PLANET GOLD,Sofiane Pamart,2021-01-08,132171,46,0.933,0.538,0.148,0.955,0.112,-22.528,0.0374,117.047,0.237,4,10,0,spotify:track:7xLOw2tMFQteA7AOU80ArY,2021,2021,beta
"Prélude, Fugue et Variation, Op. 18: I. Prelude",Franck: Piano Works,César Franck,2006,229689,16,0.996,0.413,0.00976,0.94,0.0743,-32.745,0.0391,64.112,0.236,4,11,0,spotify:track:0vkHCAZeWaZzN5Aswo3i2k,2006,2021,beta
Tu fais partie du passé,Aller-retour,Bon Entendeur,2019-12-13,169453,36,0.0638,0.7,0.729,0.00817,0.251,-6.66,0.0504,124.039,0.539,4,2,0,spotify:track:5g8IVPV9HlhiSRcnfr7qSu,2019,2021,beta
Oblivion,Di Meola Plays Piazzolla,Al Di Meola,2005-08-30,363533,30,0.95,0.589,0.433,0.92,0.1,-13.265,0.0308,102.254,0.6,4,0,0,spotify:track:745ECNomCDA8KOMUM1sMdR,2005,2021,beta
Radioactive,Night Visions (Deluxe),Imagine Dragons,2014-09-29,275506,44,0.0376,0.496,0.884,1.37e-06,0.44,-3.915,0.209,139.913,0.287,4,11,0,spotify:track:6nDAs3PRe37fgqLfx51lBB,2014,2021,beta
Nan Ye Li Kan,Nan Ye Li Kan,Bon Entendeur,2021-05-12,235533,26,0.018,0.697,0.877,0.203,0.281,-7.97,0.0609,123.031,0.849,4,0,1,spotify:track:1lbiDNOAfAzDhqzKtMdmDG,2021,2021,beta
The Mad Lover Suite: Ground. Aire V,The Mad Lover,Thomas Dunford,2020-11-13,221880,41,0.936,0.301,0.0528,0.00102,0.213,-20.482,0.0433,173.668,0.194,1,4,0,spotify:track:4Uqpgm23gArRAtJZ8gSupH,2020,2021,beta
