name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Professor Umbridge,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,152600,51,0.699,0.479,0.267,0.722,0.339,-17.335,0.041,140.217,0.108,4,4,0,spotify:track:5XbDL9Otyn3C9vAY3awneT,2007,2021,delta,C543
Promenades,L'art de la défaite,Batlik,2019-09-13,217124,7,0.133,0.812,0.433,0.000144,0.096,-11.619,0.108,92.045,0.274,4,7,0,spotify:track:5DBQkJq8dLkZdqH0NACgeE,2019,2021,delta,C545
Foreign Visitors Arrive,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,89386,49,0.92,0.225,0.315,0.89,0.231,-12.908,0.0357,83.01,0.15,5,7,1,spotify:track:3GVGvDhx6CTpHCaaQV5BBC,2005,2021,delta,C579
Flight of the Order of the Phoenix,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,91920,53,0.295,0.28,0.526,0.881,0.0896,-16.144,0.0599,106.235,0.0307,4,2,1,spotify:track:4fG0zASzzrjugiQ6VJUozp,2007,2021,delta,C642
Diagon Alley and the Gringotts Vault,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,246066,56,0.876,0.285,0.0442,0.0709,0.114,-27.241,0.0358,129.025,0.0558,4,5,0,spotify:track:0VTuzCnqdxzpEheq4GuC2N,2001,2021,delta,C652
Harry's Wondrous World,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,321066,62,0.881,0.227,0.264,0.9,0.114,-14.905,0.0325,84.986,0.228,4,0,1,spotify:track:4lg0h4AJhPMxbO3VMpbUqS,2001,2021,delta,C687
Seuls et vaincus,Lundi Méchant,Gaël Faye,2020-11-06,182661,49,0.871,0.507,0.318,0.0,0.148,-11.893,0.046,123.233,0.161,4,2,0,spotify:track:5EF9f0fdkh9Ocgs1Fb5BRq,2020,2021,delta,C728
Histoire d'amour,Lundi Méchant,Gaël Faye,2020-11-06,211453,52,0.774,0.755,0.441,0.0,0.0902,-8.998,0.12,113.967,0.761,4,0,0,spotify:track:1O5B2gDKqW46umrfQjTsxs,2020,2021,delta,C866
The Black Lake,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,276933,41,0.166,0.131,0.454,0.471,0.11,-12.97,0.0372,76.747,0.0734,4,5,0,spotify:track:38GqVS4rDFnL0291QCiza9,2005,2021,delta,C1042
The Quidditch World Cup,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,111693,51,0.132,0.389,0.539,0.684,0.377,-14.537,0.0563,129.877,0.355,4,8,1,spotify:track:668l1jLhA5t4nYsSIvdPf1,2005,2021,delta,C1054
Ma femme,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,159306,52,0.218,0.601,0.766,0.0,0.0455,-5.811,0.373,66.038,0.968,3,6,0,spotify:track:0wpjEtcUQrYA2BjRYQyQwv,2013,2021,delta,C1066
La révolution - Main Theme,La Révolution (Music from the Netflix Original Series),Saycet,2020-11-06,180225,0,0.863,0.128,0.379,0.895,0.0779,-14.681,0.0447,183.707,0.0456,3,9,0,spotify:track:547KDnJYVaEcpsKkASswlT,2020,2021,delta,C1072
Bleu de lune,Bleu de lune,Zoufris Maracas,2020-03-13,214971,42,0.251,0.733,0.439,0.378,0.112,-11.08,0.102,110.014,0.483,4,1,0,spotify:track:3JDc3bLBIsGKYyxZUMPYt1,2020,2021,delta,C1086
Restrictus,Mario Batkovic,Mario Batkovic,2017-03-17,463280,33,0.957,0.476,0.395,0.856,0.129,-10.898,0.0301,98.002,0.0927,4,3,0,spotify:track:6hqeyk5PP4ywE9FH5bs2HI,2017,2021,delta,C1091
Chalouper,Lundi Méchant,Gaël Faye,2020-11-06,215240,61,0.348,0.792,0.518,1.81e-05,0.103,-9.63,0.0491,100.004,0.526,4,10,0,spotify:track:4P89bNZVTCmu3zT0IBNLS8,2020,2021,delta,C1215
"It's a Man's Man's, Man's World",Sinikan,Sékouba Bambino,2002-01-01,280266,0,0.321,0.655,0.449,0.0,0.346,-8.181,0.0392,148.996,0.519,3,2,0,spotify:track:7FdMJOWHvJFKvixNzhuHY3,2002,2021,delta,C1328
I Don't Care To Dance,9 Songs About Love,J.E. Sunde,2020-11-20,225450,0,0.949,0.672,0.135,2.05e-05,0.0938,-11.232,0.039,122.167,0.606,3,0,0,spotify:track:2Z2z1XaqEYc0DoIHpe9zG7,2020,2021,delta,C1347
Je vous trouve un charme fou - En duo avec Gaëtan Roussel,Il suffit d'y croire (Version deluxe),Hoshi,2018-11-30,171106,0,0.622,0.614,0.599,7.69e-06,0.348,-8.715,0.254,86.976,0.627,4,1,1,spotify:track:4EgbHp5PzNWwWBBZMPPtai,2018,2021,delta,C1371
Paris métèque,Rythmes et botanique,Gaël Faye,2017-04-14,210028,53,0.157,0.625,0.577,3.46e-05,0.108,-9.509,0.0604,86.024,0.379,4,5,0,spotify:track:7DsTPoO5yu6IusWwOAjHjQ,2017,2021,delta,C1385
Prologue,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,130293,66,0.957,0.177,0.0188,0.446,0.635,-29.484,0.0367,146.472,0.0819,3,2,0,spotify:track:6CeCOC2zx1qS8mQNYHe6IM,2001,2021,delta,C1396
Double Trouble,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,97226,59,0.733,0.65,0.146,0.0,0.0482,-20.889,0.0343,91.993,0.68,5,2,0,spotify:track:1woL1W9wp2tKz9cFyc4NUm,2004,2021,delta,C1444
Only Way Is Up,Lundi Méchant,Gaël Faye,2020-11-06,231213,42,0.862,0.48,0.339,1.25e-06,0.0997,-10.682,0.168,104.723,0.366,4,3,0,spotify:track:2CQQQfax1YLcMbU0V5oTuQ,2020,2021,delta,C1500
L'art de la défaite,L'art de la défaite,Batlik,2019-09-13,268345,24,0.423,0.731,0.462,0.0588,0.123,-11.896,0.0331,104.904,0.37,4,9,0,spotify:track:692i0ZY3x7Zz1UuSmJFtCo,2019,2021,delta,C1570
Obliviate,"Harry Potter and the Deathly Hallows, Pt. 1 (Original Motion Picture Soundtrack)",Alexandre Desplat,2010-11-23,182200,52,0.932,0.294,0.204,0.954,0.104,-19.13,0.0505,149.74,0.0368,4,0,1,spotify:track:3yHrZ0f21yKyzG0ox65nB0,2010,2021,delta,C1615
Hogwarts' March,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,163520,49,0.986,0.782,0.173,0.899,0.0753,-18.543,0.0471,123.683,0.861,4,0,1,spotify:track:38aLVNQCL1nWPLhQgVuj1V,2005,2021,delta,C1617
The Arrival of Baby Harry,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,265066,58,0.898,0.0761,0.042,0.648,0.134,-24.631,0.0396,80.529,0.0349,3,4,0,spotify:track:4ir6xoRDxJmUikNTi0t7Cp,2001,2021,delta,C1633
Seeds,OUÏ,Camille,2017-06-02,170986,48,0.569,0.658,0.454,0.152,0.11,-15.107,0.0534,104.042,0.262,4,7,1,spotify:track:0bfROYomzLwxT6RGxwAmyt,2017,2021,delta,C1669
Zanzibar,Lundi Méchant,Gaël Faye,2020-11-06,249720,34,0.858,0.45,0.344,0.000747,0.0826,-11.319,0.0808,163.704,0.339,4,0,0,spotify:track:4a7ZBr7vdWy4lIBHhliTlK,2020,2021,delta,C1673
Rire aux éclats,Chanson française,Volo,2017-01-27,187906,36,0.728,0.616,0.466,9.61e-05,0.0949,-10.702,0.038,153.124,0.721,4,11,0,spotify:track:79uhb1fkoiUDgJ04asmDIa,2017,2021,delta,C1722
Derfi di hebe,Ich liebe Dich,Dino Brandāo,2020-12-11,256079,0,0.902,0.403,0.095,3.18e-05,0.112,-19.687,0.0355,85.472,0.278,4,6,0,spotify:track:7D22A3aS0qL0raNiByP3AT,2020,2021,delta,C1740
Kerozen,Lundi Méchant,Gaël Faye,2020-11-06,212173,41,0.622,0.736,0.451,2.24e-05,0.125,-10.656,0.0368,112.005,0.39,4,1,0,spotify:track:0q28vSm8gKQwhSDz7RLZAB,2020,2021,delta,C1754
Irruption,Rythmes et botanique,Gaël Faye,2017-04-14,259658,43,0.0642,0.584,0.698,5.26e-05,0.105,-8.37,0.153,86.231,0.269,4,6,0,spotify:track:2R6Ceqz74bzoocCWsDHbkR,2017,2021,delta,C1774
Reunion of Friends,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,John Williams,2002-11-11,308200,53,0.966,0.165,0.0742,0.919,0.115,-20.345,0.0416,129.981,0.038,3,2,1,spotify:track:0rpSIjKSmZ2SFO6vmLJpXl,2002,2021,delta,C1775
Magnolias for Ever,Emma Peters (Remixed),Emma Peters,2021-02-05,180035,58,0.823,0.719,0.387,1.78e-05,0.107,-11.403,0.0444,96.046,0.283,4,8,0,spotify:track:3l6779YqHSAtPR7cKhNP47,2021,2021,delta,C1786
Neville's Waltz,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,129053,52,0.957,0.246,0.073,0.924,0.1,-21.086,0.0368,95.624,0.126,3,2,1,spotify:track:08IA5pdUxV881M3pFBKepS,2005,2021,delta,C1832
The Dark Mark,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,206293,42,0.507,0.19,0.251,0.758,0.0949,-14.609,0.0358,109.737,0.0386,4,1,1,spotify:track:1hnh78WKdZar4M7gHEAX4K,2005,2021,delta,C1845
Rita Skeeter,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,101346,44,0.815,0.621,0.0154,0.0105,0.338,-28.643,0.045,120.133,0.239,4,8,0,spotify:track:4O1bCn4guvbP8oNsUo1Xn3,2005,2021,delta,C2122
Il n'y a pas d'amour heureux,2016,Poom,2016-05-24,184485,30,0.666,0.717,0.429,0.000953,0.0841,-9.186,0.0494,107.027,0.561,4,8,0,spotify:track:6VRp6lA7HDHYjhE273MUSV,2016,2021,delta,C2136
A-France,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,260533,38,0.526,0.479,0.555,0.0,0.182,-11.401,0.215,89.765,0.658,4,2,0,spotify:track:2qsjKx635nmNfZbjknAbLm,2013,2021,delta,C2194
Pardonne-moi,Pardonne-moi,ELISA ERKA,2019-09-06,192992,39,0.865,0.612,0.292,0.0,0.105,-7.91,0.047,103.105,0.616,4,9,0,spotify:track:4Ugk4dgmZMxJ122TFwhfFh,2019,2021,delta,C2196
Keren Chave,Gipsy World Vol. 1: The Best Of Voices (Les Voix Tziganes),Various Artists,2007-01-01,200466,37,0.531,0.638,0.352,0.0,0.0838,-12.159,0.0425,90.623,0.833,4,9,0,spotify:track:7cjegURJa63Uvc0ttyQIfl,2007,2021,delta,C2221
Le monde s'est dédoublé,Le monde s'est dédoublé,Clara Ysé,2019-04-05,210699,0,0.176,0.48,0.672,0.0,0.105,-8.861,0.0484,130.288,0.311,4,5,0,spotify:track:5KR5SWArJpB7l6W3D3VNdG,2019,2021,delta,C2243
Paysage,L'étoile,MPL,2020-01-31,216120,51,0.154,0.677,0.663,1.24e-06,0.208,-10.756,0.0547,117.974,0.748,4,7,1,spotify:track:7ytlU6FmzTISrT7JeGxFSg,2020,2021,delta,C2332
Respire,Lundi Méchant,Gaël Faye,2020-11-06,191840,59,0.514,0.761,0.437,0.0,0.285,-10.053,0.157,120.072,0.366,4,2,0,spotify:track:2qH3Ulxrpemyt2ZIjlSJ7J,2020,2021,delta,C2368
"Lisboa, Jerusalem","Lisboa, Jerusalem",Igit,2018-01-20,157393,21,0.55,0.502,0.547,6.74e-06,0.383,-8.85,0.0613,168.118,0.609,3,0,0,spotify:track:374ZNztJumy3umEMTDewT9,2018,2021,delta,C2427
